id;ano;cid;qtde
278;2016;F02;1
279;2016;F05;1
280;2016;F06;12
281;2016;F06;13
282;2016;F07;16
283;2016;F07;1
284;2016;F07;10
285;2016;F09;5
286;2016;F10;5
287;2016;F10;3
288;2016;F10;1
289;2016;F11;1
290;2016;F12;2
291;2016;F14;2
292;2016;F15;1
293;2016;F16;2
294;2016;F18;22
295;2016;F19;6
296;2016;F20;7
297;2016;F20;10
298;2016;F21;1
299;2016;F22;3
300;2016;F22;3
301;2016;F23;6
302;2016;F23;6
303;2016;F25;2
304;2016;F29;1
305;2016;F29;4
306;2016;F31;6
307;2016;F31;36
308;2016;F31;3
309;2016;F32;177
310;2016;F32;446
311;2016;F32;21
312;2016;F33;21
313;2016;F33;136
314;2016;F33;4
315;2016;F34;3
316;2016;F34;1
317;2016;F38;1
318;2016;F38;1
319;2016;F39;2
320;2016;F39;2
321;2016;F40;45
322;2016;F40;19
323;2016;F40;5
324;2016;F41;641
325;2016;F41;444
326;2016;F41;84
327;2016;F42;5
328;2016;F42;7
329;2016;F42;2
330;2016;F43;7370
331;2016;F43;723
332;2016;F43;426
333;2016;F44;5
334;2016;F44;3
335;2016;F45;14
336;2016;F45;5
337;2016;F45;3
338;2016;F48;6
339;2016;F48;4
340;2016;F50;1
341;2016;F50;1
342;2016;F50;1
343;2016;F51;7
344;2016;F51;2
345;2016;F53;2
346;2016;F54;2
347;2016;F54;1
348;2016;F55;1
349;2016;F60;9
350;2016;F60;4
351;2016;F61;3
352;2016;F62;3
353;2016;F62;1
354;2016;F63;2
355;2016;F63;1
356;2016;F68;2
357;2016;F70;2
358;2016;F72;1
359;2016;F73;1
360;2016;F78;1
361;2016;F80;2
362;2016;F81;1
363;2016;F81;1
364;2016;F84;1
365;2016;F89;2
366;2016;F90;5
367;2016;F90;1
368;2016;F90;1
369;2016;F91;7
370;2016;F91;1
371;2016;F92;35
372;2016;F92;3
373;2016;F93;3
374;2016;F98;1
375;2016;F98;2
376;2016;F99;15
377;2016;F99;1
378;2016;G02;1
379;2016;G04;2
380;2016;G04;1
381;2016;G05;1
382;2016;G05;1
383;2016;G06;5
384;2016;G06;4
385;2016;G07;1
386;2016;G09;1
