uf_emp;qtde
São Paulo;96573
Minas Gerais;30470
Rio Grande do Sul;23945
Paraná;22019
Santa Catarina;17648
Rio de Janeiro;16291
Goiás;8126
Bahia;7276
Mato Grosso;7227
Espírito Santo;6991
Pernambuco;5301
Ceará;4981
Mato Grosso do Sul;4883
Pará;4572
Distrito Federal;3367
Amazonas;2657
Rio Grande do Norte;1885
Rondônia;1764
Maranhão;1663
Alagoas;1418
Tocantins;1352
Paraíba;1334
Sergipe;1151
Piauí;762
Roraima;279
Amapá;245
Acre;234
