uf;qtde
São Paulo;7513480
Minas Gerais;1998656
Rio Grande do Sul;1606137
Paraná;1350352
Rio de Janeiro;1259856
Santa Catarina;1159450
Bahia;494785
Pernambuco;404135
Goiás;397585
Espírito Santo;339577
Pará;262536
Mato Grosso;244773
Ceará;241334
Mato Grosso do Sul;217536
Distrito Federal;184853
Amazonas;173389
Alagoas;146267
Rio Grande do Norte;131960
Maranhão;103212
Paraíba;90856
Rondônia;90682
Sergipe;77625
Piauí;56621
Tocantins;34786
Acre;16954
Amapá;12888
Roraima;10085
