uf_emp;qtde
São Paulo;177376
Minas Gerais;48751
Rio Grande do Sul;38714
Paraná;38094
Rio de Janeiro;31722
Santa Catarina;29379
Goiás;13753
Espírito Santo;11355
Bahia;11078
Mato Grosso;10505
Pernambuco;9615
Ceará;9230
Mato Grosso do Sul;7602
Pará;7090
Distrito Federal;6279
Amazonas;4587
Rio Grande do Norte;3432
Rondônia;2913
Maranhão;2774
Alagoas;2501
Paraíba;2272
Sergipe;1807
Piauí;1361
Tocantins;1059
Roraima;508
Acre;464
Amapá;412
