id;qtde;desc_faixa
0;77002;30 a 34 anos:
1;75404;25 a 29 anos:
2;72832;35 a 39 anos:
3;71130;20 a 24 anos:
4;56121;40 a 44 anos:
5;42499;45 a 49 anos:
6;32209;50 a 54 anos:
7;19649;55 a 59 anos:
8;16395;14 a 19 anos: 
9;8223;60 a 64 anos:
10;2382;65 a 69 anos:
11;784;70 a 100 anos:
